Problem,,,Constructive Algorithm,,,Local Search,,Grasp,,Known Best Solution or Upper Bound
Name,|V|,|E|,Randomized-1,Greedy-1, Semi-Greedy-1,LS-iterations,LS-avg-value,GRASP-iterations,GRASP-best-value,Best Value
g1,800,19176,9592,10956,10978,200,11351,200,11487,N/A
g2,800,19176,9590,11030,11044,200,11364,200,11445,N/A
g3,800,19176,9586,11012,11025,200,11347,200,11441,N/A
g4,800,19176,9583,11031,11013,200,11371,200,11496,N/A
g5,800,19176,9587,10990,11023,200,11345,200,11458,N/A
g6,800,19176,75,1515,1529,200,1881,200,1970,N/A
g7,800,19176,-71,1362,1419,200,1722,200,1835,N/A
g8,800,19176,-84,1331,1375,200,1741,200,1848,N/A
g9,800,19176,-36,1507,1402,200,1764,200,1867,N/A
g10,800,19176,-78,1350,1320,200,1699,200,1795,N/A
g11,800,1600,18,434,474,200,484,200,506,N/A
g12,800,1600,-1,418,442,200,471,200,494,N/A
g13,800,1600,17,432,472,200,492,200,522,N/A
g14,800,4694,2346,2890,2892,200,2962,200,2983,N/A
g15,800,4661,2332,2873,2866,200,2935,200,2967,N/A
g16,800,4672,2336,2878,2904,200,2943,200,2965,N/A
g17,800,4667,2333,2864,2889,200,2946,200,2969,N/A
g18,800,4694,33,780,751,200,853,200,879,N/A
g19,800,4661,-56,681,678,200,771,200,796,N/A
g20,800,4672,-23,698,727,200,789,200,844,N/A
g21,800,4667,-33,704,734,200,793,200,827,N/A
g22,2000,19990,9994,12346,12328,200,12816,200,12895,N/A
g23,2000,19990,9993,12291,12281,200,12738,200,12831,N/A
g24,2000,19990,9995,12367,12387,200,12814,200,12883,N/A
g25,2000,19990,9994,12408,12376,200,12792,200,12861,N/A
g26,2000,19990,9997,12355,12370,200,12787,200,12870,N/A
g27,2000,19990,-20,2316,2315,200,2817,200,2901,N/A
g28,2000,19990,-51,2329,2303,200,2770,200,2856,N/A
g29,2000,19990,41,2367,2369,200,2842,200,2910,N/A
g30,2000,19990,52,2401,2404,200,2899,200,2987,N/A
g31,2000,19990,-40,2290,2329,200,2816,200,2884,N/A
g32,2000,4000,9,1058,1144,200,1192,200,1224,N/A
g33,2000,4000,-14,1000,1110,200,1166,200,1210,N/A
g34,2000,4000,-24,988,1106,200,1170,200,1208,N/A
g35,2000,11778,5888,7252,7227,200,7426,200,7477,N/A
g36,2000,11766,5884,7225,7251,200,7413,200,7451,N/A
g37,2000,11785,5892,7264,7259,200,7423,200,7468,N/A
g38,2000,11779,5889,7305,7244,200,7425,200,7458,N/A
g39,2000,11778,14,1861,1902,200,2080,200,2152,N/A
g40,2000,11766,-49,1834,1861,200,2045,200,2100,N/A
g41,2000,11785,-8,1876,1848,200,2051,200,2108,N/A
g42,2000,11779,59,1989,2003,200,2136,200,2194,N/A
g43,1000,9990,4995,6188,6170,200,6404,200,6471,N/A
g44,1000,9990,4993,6157,6103,200,6366,200,6428,N/A
g45,1000,9990,4995,6179,6199,200,6408,200,6461,N/A
g46,1000,9990,4994,6150,6183,200,6392,200,6446,N/A
g47,1000,9990,4994,6220,6220,200,6402,200,6466,N/A
g48,3000,6000,2999,6000,5788,200,5702,200,5940,N/A
g49,3000,6000,3000,6000,5708,200,5639,200,5870,N/A
g50,3000,6000,3000,5880,5554,200,5593,200,5742,N/A
g51,1000,5909,2952,3626,3630,200,3720,200,3741,N/A
g52,1000,5916,2957,3650,3656,200,3725,200,3755,N/A
g53,1000,5914,2956,3632,3651,200,3722,200,3753,N/A
g54,1000,5916,2958,3633,3644,200,3717,200,3738,N/A
